secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Alphabétisation,8,49,16.3,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Aucun,20,49,40.8,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Post-primaire,2,49,4.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Primaire,17,49,34.7,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Secondaire/Lycée,1,49,2.0,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Universitaire,1,49,2.0,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Alphabétisation,9,33,27.3,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Aucun,18,33,54.5,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Post-primaire,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Primaire,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Secondaire/Lycée,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Alphabétisation,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Aucun,20,42,47.6,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Post-primaire,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Primaire,11,42,26.2,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Secondaire/Lycée,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Universitaire,8,42,19.0,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Alphabétisation,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Aucun,18,42,42.9,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Post-primaire,7,42,16.7,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Primaire,13,42,31.0,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Universitaire,3,42,7.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Alphabétisation,7,65,10.8,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Aucun,43,65,66.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Post-primaire,8,65,12.3,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Primaire,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Secondaire/Lycée,1,65,1.5,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Universitaire,1,65,1.5,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Alphabétisation,3,54,5.6,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Aucun,46,54,85.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Post-primaire,2,54,3.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Primaire,2,54,3.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Secondaire/Lycée,1,54,1.9,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Retour volontaire,Primaire,1,1,100.0,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Aucun,27,44,61.4,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Post-primaire,4,44,9.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Primaire,8,44,18.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Secondaire/Lycée,4,44,9.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Universitaire,1,44,2.3,%
