dataset,population,region,sexe,age,statut_residence,niveau_instruction,handicap,completude_pct
Adultes,18+,Yaadga,Femme,20,Hôte,Aucun,Non,99.1
Adultes,18+,Yaadga,Femme,45,Hôte,Secondaire/Lycée,Non,99.1
Adultes,18+,Yaadga,Femme,19,Hôte,Post-primaire,Non,98.9
Adultes,18+,Yaadga,Homme,43,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Homme,31,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Yaadga,Homme,54,Hôte,Universitaire,Non,99.8
Adultes,18+,Yaadga,Femme,25,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,33,Hôte,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,42,Hôte,Post-primaire,Non,99.5
Adultes,18+,Koulsé,Femme,30,Hôte,Primaire,Non,99.4
Adultes,18+,Koulsé,Femme,55,PDI,Aucun,Non,99.4
Adultes,18+,Yaadga,Homme,42,Hôte,Universitaire,Non,99.8
Adultes,18+,Yaadga,Homme,38,Hôte,Primaire,Non,99.5
Adultes,18+,Yaadga,Homme,62,PDI,Secondaire/Lycée,Non,99.5
Adultes,18+,Yaadga,Homme,65,Hôte,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,24,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Yaadga,Homme,59,Hôte,Aucun,Non,99.7
Adultes,18+,Koulsé,Homme,39,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Homme,19,PDI,Primaire,Non,99.5
Adultes,18+,Yaadga,Femme,47,Hôte,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,34,Hôte,Secondaire/Lycée,Non,99.7
Adultes,18+,Yaadga,Femme,73,Hôte,Aucun,Non,99.5
Adultes,18+,Yaadga,Homme,45,Hôte,Alphabétisation,Non,99.7
Adultes,18+,Yaadga,Homme,33,Hôte,Secondaire/Lycée,Non,99.5
Adultes,18+,Yaadga,Homme,49,Hôte,Universitaire,Non,99.7
Adultes,18+,Koulsé,Homme,43,PDI,Aucun,Non,99.7
